passport_id,manufacturer,battery_type,capacity_kwh,production_date,soh,soc,total_cycles,temperature_celsius,health_status,timestamp,data_source,degradation_per_cycle,temperature_status
EV-BATT-20260711-00000,Samsung,Li-ion NCA,79.01,2026-02-11,97.11,20.95,69,28.77,EXCELLENT,2026-07-11 06:22:36.871755,simulated,0.041285714285714294,OPTIMAL
EV-BATT-20260711-00001,Tesla,Li-poly,83.28,2023-12-24,84.47,78.06,397,33.75,GOOD,2026-07-11 06:22:36.871755,simulated,0.03902010050251257,OPTIMAL
EV-BATT-20260711-00002,Samsung,Li-ion NCA,73.88,2024-12-18,87.63,42.07,243,25.76,GOOD,2026-07-11 06:22:36.871755,simulated,0.05069672131147543,OPTIMAL
EV-BATT-20260711-00003,CATL,Li-ion NCM,99.37,2026-01-12,97.87,59.66,123,29.66,EXCELLENT,2026-07-11 06:22:36.871755,simulated,0.01717741935483867,OPTIMAL
EV-BATT-20260711-00004,Panasonic,Solid-State,76.42,2023-12-24,82.54,16.09,245,31.58,GOOD,2026-07-11 06:22:36.871755,simulated,0.07097560975609754,OPTIMAL
EV-BATT-20260711-00005,Samsung,Solid-State,85.1,2023-05-28,79.38,22.44,393,41.84,FAIR,2026-07-11 06:22:36.871755,simulated,0.05233502538071067,LOW
EV-BATT-20260711-00006,Tesla,Li-ion NCM,58.72,2025-06-16,93.12,49.37,101,20.31,EXCELLENT,2026-07-11 06:22:36.871755,simulated,0.06745098039215681,OPTIMAL
EV-BATT-20260711-00007,CATL,Solid-State,53.62,2025-08-15,95.88,17.93,166,29.42,EXCELLENT,2026-07-11 06:22:36.871755,simulated,0.02467065868263476,OPTIMAL
EV-BATT-20260711-00008,Samsung,Solid-State,56.02,2022-08-31,77.11,69.88,449,27.99,FAIR,2026-07-11 06:22:36.871755,simulated,0.05086666666666667,OPTIMAL
EV-BATT-20260711-00009,BYD,Li-ion NCM,55.35,2023-12-24,82.11,74.58,331,30.32,GOOD,2026-07-11 06:22:36.871755,simulated,0.0538855421686747,OPTIMAL
EV-BATT-20260711-00010,CATL,Li-ion NCA,70.06,2025-07-16,96.76,32.92,61,30.95,EXCELLENT,2026-07-11 06:22:36.871755,simulated,0.05225806451612895,OPTIMAL
